candidate,fixture,solver,status,inventory_weight,residual_weight,factor_weight,impact_bps,adaptive_caps,objective,max_terminal_residual,max_capacity_violation,max_direction_violation,max_latest_start_floor_violation,early_factor_imbalance_pct,urgent_first_trade_max_day,medium_first_trade_min_day,medium_first_trade_max_day,small_first_trade_min_day,small_completion_day5_pct,urgent_median_execution_day,medium_median_execution_day,small_median_execution_day,urgency_median_gap_days,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,peak_daily_gross_pct,passes_global,passes_balance,passes_urgency,passes_ramp,passes_fixture
inventory_10__factor_1__impact_1,urgency_ramp,CLARABEL,optimal,10.0,0.0,1.0,1.0,False,113.90994144871195,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,4.798883416665503e-15,2.0,6.0,6.0,10.0,0.018668880503338193,6.0,8.0,10.0,4.0,0.9999999999999999,4.665436046650882,25.036398360148084,9,21.35848624763113,True,True,True,True,True
inventory_10__factor_1__impact_1,factor_balance,CLARABEL,optimal,10.0,0.0,1.0,1.0,False,162.43449398207923,2.842170943040401e-14,0.0,0.0,2.842170943040401e-14,1.6129032378718902,2.0,2.0,2.0,,,6.0,4.0,,,0.01818181818181818,1.0322579970354269,52.163459637119914,6,14.903844755406109,True,True,True,True,True
inventory_10__factor_1__impact_5,urgency_ramp,CLARABEL,optimal,10.0,0.0,1.0,5.0,False,114.12463421222485,1.4210854715202004e-14,0.0,0.0,0.0,9.722608651510963e-15,2.0,6.0,6.0,10.0,0.021151098117487964,6.0,8.0,10.0,4.0,0.9999999999999999,4.665049505704187,25.16419640910666,9,21.103213901337405,True,True,True,True,True
inventory_10__factor_1__impact_5,factor_balance,CLARABEL,optimal,10.0,0.0,1.0,5.0,False,162.5307854896441,2.1316282072803006e-14,3.5774370132912736e-09,0.0,3.998479769506957e-09,1.6129033119317038,2.0,2.0,2.0,,,6.0,4.0,,,0.01818181818181818,1.032256380474251,52.163412953162585,5,14.903809730319837,True,True,True,True,True
inventory_10__factor_1__impact_20,urgency_ramp,CLARABEL,optimal,10.0,0.0,1.0,20.0,False,114.91855314513757,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,7.837435224784767e-15,2.0,6.0,6.0,9.0,0.029735509287861412,6.0,8.0,10.0,4.0,0.9999999999999999,4.659254548384713,25.523192285259967,9,20.386439866772065,True,True,True,True,True
inventory_10__factor_1__impact_20,factor_balance,CLARABEL,optimal,10.0,0.0,1.0,20.0,False,162.88992025798203,4.988010005035903e-12,9.849721038790449e-10,4.1914810499438554e-10,2.5673045911389636e-09,1.6129055060404336,2.0,2.0,2.0,,,6.0,4.0,,,0.0303030303030303,1.0322296252248049,52.162710646590696,5,14.903228572441176,True,True,True,True,True
inventory_10__factor_10__impact_1,urgency_ramp,CLARABEL,optimal,10.0,0.0,10.0,1.0,False,113.90994144871205,1.4210854715202004e-14,0.0,0.0,0.0,4.4720756717840664e-15,2.0,6.0,6.0,10.0,0.018668880890741806,6.0,8.0,10.0,4.0,0.9999999999999999,4.665436046625509,25.036398360178474,9,21.358486247628083,True,True,True,True,True
inventory_10__factor_10__impact_1,factor_balance,CLARABEL,optimal,10.0,0.0,10.0,1.0,False,972.8962441195023,5.684341886080802e-14,0.0,0.0,4.263256414560601e-14,0.16611334022167834,2.0,2.0,2.0,,,6.0,4.0,,,0.07878787878787878,1.0033222526697558,53.66785580556777,6,15.333673145829383,True,True,True,True,True
inventory_10__factor_10__impact_5,urgency_ramp,CLARABEL,optimal,10.0,0.0,10.0,5.0,False,114.12463421222486,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,3.3932962269880427e-15,2.0,6.0,6.0,10.0,0.021151100625912356,6.0,8.0,10.0,4.0,0.9999999999999999,4.665049505538941,25.164196409293424,9,21.103213901336456,True,True,True,True,True
inventory_10__factor_10__impact_5,factor_balance,CLARABEL,optimal,10.0,0.0,10.0,5.0,False,972.9955828512973,5.186961971048731e-13,1.5650556406399119e-09,7.44752955071393e-10,1.5646008932890254e-09,0.16611383488002865,2.0,2.0,2.0,,,6.0,4.0,,,0.06666666666666665,1.003322210327866,53.66785667341366,6,15.333673092747324,True,True,True,True,True
inventory_10__factor_10__impact_20,urgency_ramp,CLARABEL,optimal,10.0,0.0,10.0,20.0,False,114.91855314513766,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,4.518847412883281e-15,2.0,6.0,6.0,9.0,0.029735519291510592,6.0,8.0,10.0,4.0,0.9999999999999999,4.659254548138704,25.523192285978393,9,20.38643986676855,True,True,True,True,True
inventory_10__factor_10__impact_20,factor_balance,CLARABEL,optimal,10.0,0.0,10.0,20.0,False,973.3662510964316,5.186961971048731e-13,4.581199419817494e-09,2.3051499751575606e-09,7.95473908965505e-09,0.166112483357673,2.0,2.0,2.0,,,6.0,4.0,,,0.06666666666666665,1.003321909616476,53.667842897327496,5,15.33366559132498,True,True,True,True,True
