date,symbol,trade_shares,trade_dollars,abs_pct_adv,cap_shares,cap_pct_adv,days_to_earnings,residual_shares_after,residual_dollars_after,event_id,strategy,policy_id,policy_aggressiveness
2026-01-05,HEDGE_SELL,-26.070247646355185,-1433.8636205495352,0.023181910387693638,224.91888899885362,0.2,1.0,-24.656032129360028,-1356.0817671148016,event_01,forecast_liquidity,policy_0650,0.65
2026-01-05,SMALL_BUY,8.254580802939937,495.27484817639623,0.006740398517437688,244.92856858789574,0.2,1.0,25.629350426154808,1537.7610255692884,event_01,forecast_liquidity,policy_0650,0.65
2026-01-06,URGENT_BUY,50.08675562303212,2504.337781151606,0.04484084262129976,223.3979233888906,0.2,0.0,-2.842170943040401e-14,-1.4210854715202004e-12,event_01,forecast_liquidity,policy_0650,0.65
2026-01-06,HEDGE_SELL,-24.656032129360028,-1356.0817671148016,0.020242854783723976,243.60232183441255,0.2,0.0,0.0,0.0,event_01,forecast_liquidity,policy_0650,0.65
2026-01-06,SMALL_BUY,25.629350426154836,1537.7610255692903,0.019432572607187434,263.7772254269147,0.2,0.0,-2.842170943040401e-14,-1.7053025658242404e-12,event_01,forecast_liquidity,policy_0650,0.65
2026-01-12,URGENT_BUY,22.262479923496457,1113.1239961748229,0.023358991300539124,190.6116547334186,0.2,2.0,77.73752007650354,3886.876003825177,event_02,forecast_liquidity,policy_0650,0.65
2026-01-12,HEDGE_SELL,-29.27372022428479,-1610.0546123356635,0.027793218767190764,210.65368836546364,0.2,2.0,-50.72627977571521,-2789.9453876643365,event_02,forecast_liquidity,policy_0650,0.65
2026-01-12,SMALL_BUY,6.116068770905253,366.96412625431515,0.005302454786777814,230.6882007237955,0.2,2.0,33.88393122909475,2033.035873745685,event_02,forecast_liquidity,policy_0650,0.65
2026-01-13,URGENT_BUY,27.65076445347145,1382.5382226735724,0.026988550897022696,204.90736652720253,0.2,1.0,50.08675562303209,2504.3377811516043,event_02,forecast_liquidity,policy_0650,0.65
2026-01-13,HEDGE_SELL,-26.070247646355185,-1433.8636205495352,0.023181910387693638,224.91888899885362,0.2,1.0,-24.656032129360028,-1356.0817671148016,event_02,forecast_liquidity,policy_0650,0.65
